,featureNum,trainAcc_xgb,trainSec_xgb,testAcc_xgb,testSec_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,RMSE_xgb,trainAcc_svm,trainSec_svm,testAcc_svm,testSec_svm,MSE_svm,MAE_svm,MAPE_svm,RMSE_svm,trainAcc_xgb_hyp,trainSec_xgb_hyp,testAcc_xgb_hyp,testSec_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp,RMSE_xgb_hyp
0,1,0.527304756,0.379354477,0.500683995,0.263240576,1.10123119,0.671682627,1.90987E+14,1.049395631,0.527304756,0.630587816,0.500683995,0.585549593,1.10123119,0.671682627,1.90987E+14,1.049395631,0.527304756,2.809638262,0.500683995,3.253012896,1.10123119,0.671682627,1.90987E+14,1.049395631
1,2,0.790369935,1.996786594,0.533515732,0.794722557,1.175102599,0.660738714,1.90987E+14,1.084021494,0.459776864,1.131195307,0.459644323,0.533727884,1.098495212,0.712722298,2.0947E+14,1.048091223,0.540810335,4.367985964,0.517099863,3.062823534,0.97127223,0.629274966,1.72505E+14,0.985531445
2,3,1,1.523990631,0.965800274,0.593561172,0.034199726,0.034199726,1.84826E+13,0.18493168,0.967704052,0.90214467,0.97127223,0.333313465,0.02872777,0.02872777,8.62523E+13,0.169492685,1,0.791726112,0.972640219,0.918001413,0.027359781,0.027359781,1.84826E+13,0.165407923
3,4,1,0.822769403,0.964432285,0.600563765,0.035567715,0.035567715,1.84826E+13,0.188594049,0.970052848,0.468176603,0.97127223,0.228214025,0.02872777,0.02872777,8.62523E+13,0.169492685,1,0.687645435,0.968536252,0.772681475,0.031463748,0.031463748,2.46435E+13,0.177380236
4,5,1,0.818766594,0.975376197,0.676632166,0.024623803,0.024623803,1.23218E+13,0.156919734,0.989430417,0.283267736,0.994528044,0.169166327,0.005471956,0.005471956,6.16088E+12,0.073972672,1,1.703594685,0.980848153,1.825422049,0.019151847,0.019151847,1.23218E+13,0.138390198
5,6,1,0.80775857,0.97127223,0.796747684,0.02872777,0.02872777,1.23218E+13,0.169492685,0.987081621,0.32424593,0.987688098,0.159147978,0.012311902,0.012311902,3.69653E+13,0.110959008,1,2.046919107,0.976744186,1.41031456,0.023255814,0.023255814,1.23218E+13,0.15249857
6,7,1,1.293215036,0.975376197,0.879823208,0.024623803,0.024623803,6.16088E+12,0.156919734,0.987081621,0.399869919,0.987688098,0.17916441,0.012311902,0.012311902,3.69653E+13,0.110959008,1,2.688515902,0.980848153,3.188994884,0.019151847,0.019151847,1.23218E+13,0.138390198
7,8,1,1.15007782,0.976744186,1.254695654,0.023255814,0.023255814,6.16088E+12,0.15249857,0.987081621,0.301264286,0.987688098,0.177163839,0.012311902,0.012311902,3.69653E+13,0.110959008,1,7.805099249,0.976744186,9.493708611,0.023255814,0.023255814,1.84826E+13,0.15249857
8,9,1,0.970910072,0.972640219,0.914859533,0.027359781,0.027359781,1.23218E+13,0.165407923,0.979448033,0.476445436,0.980848153,0.247223616,0.019151847,0.019151847,6.77696E+13,0.138390198,1,0.861809015,0.976744186,0.882823706,0.023255814,0.023255814,1.84826E+13,0.15249857
9,10,1,1.114044428,0.974008208,1.095029116,0.034199726,0.02872777,2.46435E+13,0.18493168,0.972988843,0.397835732,0.976744186,0.461591244,0.023255814,0.023255814,8.62523E+13,0.15249857,1,1.935812235,0.978112175,1.456359863,0.021887825,0.021887825,1.84826E+13,0.147945344
